Date of ,Location of ,Violation,Violation Base,Amount Due/
3/21/16,Lot Specific 5072,Parking Permit Vio,50,0
3/21/16,Lot Specific 5072,Park/Improper Area,60,0
3/21/16,Lot Specific 5072,Park/Improper Area,60,0
3/21/16,Lot Specific 5072,Park/Improper Area,60,0
3/21/16,Lot Specific 5072,Meter Violation,50,0
3/21/16,Lot Specific 4121,Park/Improper Area,60,0
3/21/16,Highland Avenue,Service Space,60,0
3/21/16,Svc & Disabled 5073,Service Space,60,0
3/21/16,Z1 1225,Boot Fee - 1QA,80,0
3/21/16,Z1 1225,Parking Permit Vio,50,70
3/21/16,Cherry Avenue Garage,Boot Fee - 1QA,80,0
3/21/16,Lot Specific 2012,Parking Permit Vio,50,0
3/21/16,Svc & Disabled 4063,Overtime,50,0
3/21/16,Learning Services,Prohibited Parking,85,105
3/21/16,Lot Specific 5072,Parking Permit Vio,50,0
3/21/16,South Campus Drive,Prohibited Parking,85,0
3/21/16,Univ Serv Annex Visitors,Park/Improper Area,60,0
3/21/16,Univ Serv Annex Visitors,Park/Improper Area,60,0
3/21/16,Sixth Street Garage,Prohibited Parking,85,0
3/21/16,Metered Lot 6088,Service Space,60,80
3/21/16,Sixth Street Garage,Parking Over Line,60,0
3/21/16,Lot Specific 6090,Park/Improper Area,60,80
3/21/16,University Svs Annex East,Prohibited Parking,85,0
3/21/16,Lot Specific 6090,Parking Permit Vio,50,70
3/21/16,Lot Specific 6090,Parking Permit Vio,50,0
3/21/16,Lot Specific 6090,Park/Improper Area,60,80
3/21/16,Lot Specific 6090,Parking Permit Vio,50,0
3/21/16,Lowell Street,Service Space,60,0
3/21/16,Svc & Disabled 6089,Parking Permit Vio,50,0
3/21/16,Lot Specific 6090,Park/Improper Area,60,80
3/21/16,Lot Specific Ft Lowell/Mountain,Parking Permit Vio,50,0
3/21/16,Metered Lot 6088,Meter Violation,50,70
3/21/16,Lot Specific 6093,Parking Permit Vio,50,0
3/21/16,Cherry Avenue,Meter Violation,50,70
3/21/16,Math Building,Overtime,50,70
3/21/16,Lot Specific 5067,Parking Permit Vio,50,0
3/21/16,Enke Drive,Park/Improper Area,60,0
3/21/16,Enke Drive,Meter Violation,50,70
3/21/16,Enke Drive,Meter Violation,50,0
3/21/16,Enke Drive,Meter Violation,50,0
3/21/16,Enke Drive,Meter Violation,50,70
3/21/16,Optical Science South,Overtime,50,70
3/21/16,Metered Lot 6088,Meter Violation,50,70
3/21/16,Metered Lot 6088,Meter Violation,50,70
3/21/16,Metered Lot 6088,Meter Violation,50,0
3/21/16,Lot Specific 5067,Parking Permit Vio,50,0
3/21/16,South Of Sixth 8106,Parking Permit Vio,50,0
3/21/16,South Of Sixth 8106,Parking Permit Vio,50,0
3/21/16,South Of Sixth 8106,Meter Violation,50,0
3/21/16,South Of Sixth 8106,Meter Violation,50,0
3/21/16,Lot Specific 4052,Parking Permit Vio,50,0
3/21/16,Lot Specific 5072,Parking Permit Vio,50,0
3/21/16,Metered Lot 6088,Meter Violation,50,0
3/21/16,Svc & Disabled 6089,Parking Permit Vio,50,70
3/21/16,Lot Specific 6090,Parking Permit Vio,50,0
3/21/16,Lot Specific 6090,Parking Permit Vio,50,0
3/21/16,Lot Specific 6090,Parking Permit Vio,50,0
3/21/16,Lot Specific 3039,Parking Permit Vio,50,0
3/21/16,Lot Specific 3039,Parking Permit Vio,50,0
3/21/16,Fine Arts,Prohibited Parking,85,0
3/21/16,Lot Specific 6090,Parking Permit Vio,50,0
3/21/16,Lot Specific 6093,Parking Permit Vio,50,0
3/21/16,Lot Specific 6093,Parking Permit Vio,50,0
3/21/16,South Of Sixth 8106,Parking Permit Vio,50,70
3/21/16,South Of Sixth 8106,Parking Permit Vio,50,0
3/21/16,South Of Sixth 8106,Parking Permit Vio,50,70
3/21/16,South Of Sixth 8106,Presidents Club - 1PC,0,0
3/21/16,Z1 1018,Parking Permit Vio,50,70
3/21/16,Lot Specific 6097,Parking Permit Vio,50,0
3/21/16,Lot Specific 6097,Parking Permit Vio,50,0
3/21/16,Lot Specific 6097,Park/Improper Area,60,0
3/21/16,South Of Sixth 8106,Parking Permit Vio,50,70
3/21/16,Lot Specific 6097,Park/Improper Area,60,80
3/21/16,Lot Specific 6092,Parking Permit Vio,50,70
3/21/16,Lot Specific 5072,Parking Permit Vio,50,0
3/21/16,Lot Specific 5067,Parking Permit Vio,50,0
3/21/16,Lot Specific 5067,Parking Permit Vio,50,0
3/21/16,Lot Specific 5067,Parking Permit Vio,50,0
3/21/16,Lot Specific 5072,Parking Permit Vio,50,0
3/22/16,Tyndall Ave Garage,Parking Permit Vio,50,0
3/22/16,1000 Block E 4th Street,Park/Improper Area,60,0
3/22/16,1000 Block E 4th Street,Parking Permit Vio,50,0
3/22/16,Lot Specific 5072,Park/Improper Area,60,0
3/22/16,Lot Specific 5072,Parking Over Line,60,0
3/22/16,1st Street,Meter Violation,50,70
3/22/16,Z1 2032,Park/Improper Area,60,0
3/22/16,Z1 2032,Park/Improper Area,60,0
3/22/16,Z1 2030,Meter Violation,50,0
3/22/16,Z1 2030,Meter Violation,50,0
3/22/16,Z1 2030,Meter Violation,50,0
3/22/16,South Of Sixth 7105,Parking Permit Vio,50,0
3/22/16,Cherry Avenue Garage,Parking Over Line,60,0
3/22/16,South Of Sixth 7156,Parking Permit Vio,50,0
3/22/16,Lot Specific 4164,Parking Permit Vio,50,0
3/22/16,Svc & Disabled 4058,Parking Permit Vio,50,0
3/22/16,Svc & Disabled 4058,Parking Permit Vio,50,0
3/22/16,College of Nursing,Overtime,50,0
3/22/16,1500 Block Drachman,Parking Permit Vio,50,0
3/22/16,Lot Specific 6090,Park/Improper Area,60,80
3/22/16,Lot Specific 6090,Park/Improper Area,60,80
3/22/16,Lot Specific 6090,Parking Permit Vio,50,0
3/22/16,Metered Lot 6088,Meter Violation,50,0
3/22/16,Lot Specific 4052,Parking Permit Vio,50,0
3/22/16,Metered Lot 6088,Meter Violation,50,70
3/22/16,Metered Lot 6088,Meter Violation,50,70
3/22/16,Metered Lot 6088,Meter Violation,50,0
3/22/16,Metered Lot 6088,Meter Violation,50,70
3/22/16,Z1 1172,Parking Permit Vio,50,0
3/22/16,Lot Specific 5067,Park/Improper Area,60,80
3/22/16,Z1 1225,Parking Permit Vio,50,0
3/22/16,Z1 2021,Parking Permit Vio,50,0
3/22/16,Lot Specific 2012,Parking Permit Vio,50,0
3/22/16,Lot Specific 2012,Parking Permit Vio,50,0
3/22/16,Lot Specific 2012,Parking Over Line,60,0
3/22/16,Lot Specific 5072,Parking Over Line,60,80
3/22/16,Lot Specific 6097,Prohibited Parking,85,0
3/22/16,Enke Drive,Meter Violation,50,0
3/22/16,Lot Specific 2029,Parking Permit Vio,50,70
3/22/16,Lot Specific 2029,Parking Permit Vio,50,0
3/22/16,Enke Drive,Meter Violation,50,0
3/22/16,Cherry Avenue,Meter Violation,50,70
3/22/16,Cherry Avenue,Meter Violation,50,70
3/22/16,Lot Specific 3039,Park/Improper Area,60,0
3/22/16,South Of Sixth 7105,Parking Over Line,60,0
3/22/16,South Of Sixth 7105,Parking Over Line,60,0
3/22/16,South Of Sixth 7105,Parking Over Line,60,0
3/22/16,Lot Specific 6090,Boot Fee - 1QA,80,0
3/22/16,Lot Specific 5072,Meter Violation,50,0
3/22/16,1600 Block Helen,Parking Permit Vio,50,0
3/22/16,Cherry Avenue,Overtime,50,0
3/22/16,Miscellaneous Location,Prohibited Parking,85,0
3/22/16,Miscellaneous Location,Prohibited Parking,85,0
3/22/16,Lot Specific 2029,Parking Permit Vio,50,0
3/22/16,Cherry Avenue Garage,Parking Over Line,60,0
3/22/16,Z1 2030,Parking Permit Vio,50,0
3/22/16,Z1 2030,Meter Violation,50,0
3/22/16,Enke Drive,Meter Violation,50,70
3/22/16,Lot Specific 2012,Meter Violation,50,0
3/22/16,Lot Specific 6098,Parking Permit Vio,50,0
3/22/16,Lot Specific 3039,Parking Permit Vio,50,0
3/22/16,Lot Specific 6098,Parking Permit Vio,50,0
3/22/16,Lot Specific 3039,Parking Permit Vio,50,0
3/22/16,Lot Specific 6093,Parking Permit Vio,50,0
3/22/16,Lot Specific 6093,Parking Permit Vio,50,0
3/22/16,Cherry Avenue,Meter Violation,50,70
3/22/16,Lot Specific 6098,Parking Permit Vio,50,0
3/22/16,South Of Sixth 8110,Parking Permit Vio,50,0
3/22/16,Metered Lot 6088,Meter Violation,50,0
3/22/16,Tyndall Ave,Park/Improper Area,60,0
3/22/16,Metered Lot 6088,Meter Violation,50,0
3/22/16,Metered Lot 6088,Meter Violation,50,70
3/22/16,Metered Lot 6088,Meter Violation,50,70
3/22/16,Lot Specific 5067,Parking Permit Vio,50,0
3/22/16,South Of Sixth 8106,Meter Violation,50,70
3/22/16,South Of Sixth 8106,Meter Violation,50,0
3/22/16,Metered Lot 6088,Meter Violation,50,0
3/22/16,4th Street,Park/Improper Area,60,80
3/22/16,Lot Specific 6097,Parking Permit Vio,50,70
3/22/16,Lot Specific 6097,Parking Permit Vio,50,70
3/22/16,Lot Specific 6097,Parking Permit Vio,50,0
3/22/16,Lot Specific 4052,Parking Permit Vio,50,70
3/22/16,Lot Specific 6097,Parking Permit Vio,50,0
3/22/16,Second Street Garage,Parking Over Line,60,0
3/22/16,Lot Specific 6097,Boot Fee - 1QA,80,0
3/22/16,James E Rogers Way,W/C Space/Access - 1DA,500,0
3/22/16,Lot Specific 6093,Service Space,60,0
3/22/16,Lot Specific 6090,Park/Improper Area,60,80
3/22/16,Lot Specific 6090,Parking Permit Vio,50,0
3/22/16,Lot Specific 6090,Parking Permit Vio,50,0
3/22/16,Sixth Street Garage,Overtime,50,0
3/22/16,Lot Specific 6090,Parking Permit Vio,50,0
3/22/16,Lot Specific 6093,Service Space,60,80
3/22/16,Lot Specific 6093,Service Space,60,80
3/22/16,Lot Specific 5067,Parking Permit Vio,50,0
3/22/16,Lot Specific 5067,Park/Improper Area,60,0
3/22/16,Lot Specific 6090,Overtime,50,0
3/22/16,Metered Lot 6088,W/C Space/Access - 1DA,500,0
3/22/16,Lot Specific 5072,Parking Permit Vio,50,0
3/23/16,Sixth Street Garage,Parking Permit Vio,50,0
3/23/16,Sixth Street Garage,Parking Permit Vio,50,0
3/23/16,Sixth Street Garage,Parking Permit Vio,50,0
3/23/16,Sixth Street Garage,Parking Permit Vio,50,70
3/23/16,Sixth Street Garage,Parking Permit Vio,50,0
3/23/16,Sixth Street Garage,Parking Permit Vio,50,70
3/23/16,Sixth Street Garage,Parking Permit Vio,50,0
3/23/16,Cherry Avenue Garage,Parking Permit Vio,50,0
3/23/16,Cherry Avenue Garage,Parking Permit Vio,50,0
3/23/16,Cherry Avenue Garage,Parking Permit Vio,50,0
3/23/16,Cherry Avenue Garage,Parking Permit Vio,50,0
3/23/16,Cherry Avenue Garage,Parking Permit Vio,50,0
3/23/16,Cherry Avenue Garage,Parking Permit Vio,50,0
3/23/16,Cherry Avenue Garage,Parking Permit Vio,50,0
3/23/16,Cherry Avenue Garage,Parking Permit Vio,50,0
3/23/16,Sixth Street Garage,Parking Over Line,60,0
3/23/16,Lot Specific 5072,Parking Permit Vio,50,0
3/23/16,Lot Specific 5072,Meter Violation,50,70
3/23/16,Svc & Disabled 1142,Parking Permit Vio,50,0
3/23/16,Cherry Avenue Garage,Parking Over Line,60,0
3/23/16,Meter Lot Spec 3175,Parking Permit Vio,50,0
3/23/16,Metered Lot 3141,Meter Violation,50,0
3/23/16,Metered Lot 3141,Meter Violation,50,70
3/23/16,Svc & Disabled 5075,Service Space,60,0
3/23/16,Slonaker,Meter Violation,50,70
3/23/16,Yavapai,Service Space,60,0
3/23/16,1000 Block E 4th Street,Parking Permit Vio,50,70
3/23/16,Z1 2032,Parking Permit Vio,50,0
3/23/16,South Of Sixth 7228,Parking Over Line,60,0
3/23/16,2nd Street,Meter Violation,50,70
3/23/16,Lot Specific 4052,Parking Permit Vio,50,0
3/23/16,Lot Specific 2012,Parking Permit Vio,50,0
3/23/16,Lot Specific 2012,Parking Permit Vio,50,0
3/23/16,Z1 2153,Parking Permit Vio,50,0
3/23/16,Math Building,Overtime,50,50
3/23/16,Tyndall Ave Garage,Parking Over Line,60,0
3/23/16,Lot Specific 6098,Parking Permit Vio,50,0
3/23/16,Enke Drive,Meter Violation,50,70
3/23/16,Enke Drive,Meter Violation,50,70
3/23/16,1st Street,Meter Violation,50,70
3/23/16,Tyndall Ave Garage,Parking Over Line,60,0
3/23/16,South Of Sixth 8179,Parking Permit Vio,50,0
3/23/16,1st Street,Boot Fee - 1QA,80,0
3/23/16,1st Street,Meter Violation,50,0
3/23/16,Z1 1172,Parking Permit Vio,50,0
3/23/16,South Of Sixth 8106,Meter Violation,50,0
3/23/16,South Of Sixth 8106,Meter Violation,50,0
3/23/16,South Of Sixth 8106,Meter Violation,50,0
3/23/16,Lot Specific 1016,Parking Permit Vio,50,0
3/23/16,Lot Specific 6090,Parking Permit Vio,50,0
3/23/16,Lot Specific 1016,Parking Permit Vio,50,0
3/23/16,Z1 2153,Overtime,50,70
3/23/16,1000 Block E 4th Street,Park/Improper Area,60,0
3/23/16,Main Gate Garage,Parking Over Line,60,0
3/23/16,Z1 2147,Parking Permit Vio,50,0
3/23/16,1st Street,Overtime,50,70
3/23/16,South Of Sixth 8106,Meter Violation,50,0
3/23/16,South Of Sixth 7228,Parking Over Line,60,0
3/23/16,Lot Specific 4057,Park/Improper Area,60,0
3/23/16,Sixth Street Garage,Parking Over Line,60,80
3/23/16,South Of Sixth 8106,Parking Permit Vio,50,70
3/23/16,Lot Specific 6090,Park/Improper Area,60,0
3/23/16,Lot Specific 6090,Parking Permit Vio,50,0
3/23/16,Lot Specific 3039,Parking Permit Vio,50,70
3/23/16,Lot Specific 3039,Parking Permit Vio,50,0
3/23/16,Lot Specific 6090,Boot Fee - 1QA,80,0
3/23/16,Lot Specific 3039,Parking Permit Vio,50,0
3/23/16,Lot Specific 4052,Parking Permit Vio,50,0
3/23/16,Lot Specific 4052,Parking Permit Vio,50,0
3/23/16,Lot Specific 4052,Parking Permit Vio,50,0
3/23/16,Alley Vine To Cherry,Service Space,60,80
3/23/16,1st Street,Service Space,60,0
3/23/16,Math Building,Overtime,50,70
3/23/16,Highland Avenue Garage,Parking Over Line,60,0
3/23/16,Metered Lot 6088,Meter Violation,50,70
3/23/16,Lot Specific 2012,Park/Improper Area,60,0
3/23/16,Lot Specific 2012,Meter Violation,50,0
3/23/16,Lot Specific 6097,Parking Permit Vio,50,0
3/23/16,Lot Specific 3233,Park/Improper Area,60,0
3/23/16,South Of Sixth 7105,Parking Permit Vio,50,0
3/23/16,South Of Sixth 8106,Meter Violation,50,70
3/23/16,South Of Sixth 8106,Meter Violation,50,0
3/23/16,1st Street,Meter Violation,50,0
3/23/16,Lot Specific 2012,Park/Improper Area,60,0
3/23/16,Lot Specific 2012,Parking Permit Vio,50,0
3/23/16,Enke Drive,Meter Violation,50,70
3/23/16,Lot Specific 4052,Parking Permit Vio,50,70
3/23/16,Lot Specific 4052,Parking Permit Vio,50,70
3/23/16,Lot Specific 4052,Parking Permit Vio,50,70
3/23/16,Lot Specific 6093,Parking Permit Vio,50,0
3/23/16,Lot Specific 6093,Service Space,60,0
3/23/16,Lot Specific 6093,Service Space,60,80
3/23/16,Sixth Street Garage,Overtime,50,0
3/23/16,Lot Specific 6093,Overtime,50,70
3/23/16,Lot Specific 5067,Parking Permit Vio,50,0
3/23/16,Lot Specific 5067,Parking Permit Vio,50,0
3/23/16,Lot Specific 5072,Parking Permit Vio,50,0
3/23/16,Lot Specific 5072,Parking Permit Vio,50,0
3/23/16,Lot Specific 5072,Parking Permit Vio,50,0
3/23/16,Lot Specific 5072,Parking Permit Vio,50,0
3/23/16,Lot Specific 5072,Meter Violation,50,0
3/23/16,Lot Specific 5072,Meter Violation,50,0
3/23/16,Lot Specific 6090,Parking Permit Vio,50,0
3/23/16,Lot Specific 6090,Parking Permit Vio,50,0
3/23/16,Lot Specific 6090,Parking Permit Vio,50,0
3/23/16,Lot Specific 6090,Parking Permit Vio,50,0
3/23/16,Lot Specific 6090,Parking Permit Vio,50,0
3/23/16,Lot Specific 6090,Parking Permit Vio,50,0
3/23/16,Lot Specific 6090,Parking Permit Vio,50,0
3/23/16,Lot Specific 6090,Parking Permit Vio,50,0
3/23/16,Lot Specific 6090,Parking Permit Vio,50,0
3/23/16,Lot Specific 6090,Parking Permit Vio,50,0
3/23/16,Lot Specific 6090,Parking Permit Vio,50,0
3/23/16,Lot Specific 6090,Parking Permit Vio,50,0
3/24/16,Sixth Street Garage,Parking Permit Vio,50,0
3/24/16,Sixth Street Garage,Parking Permit Vio,50,0
3/24/16,Sixth Street Garage,Parking Permit Vio,50,0
3/24/16,Sixth Street Garage,Parking Permit Vio,50,0
3/24/16,Sixth Street Garage,Parking Permit Vio,50,0
3/24/16,Sixth Street Garage,Parking Permit Vio,50,0
3/24/16,Sixth Street Garage,Parking Permit Vio,50,0
3/24/16,Sixth Street Garage,Parking Permit Vio,50,0
3/24/16,Sixth Street Garage,Parking Permit Vio,50,0
3/24/16,Sixth Street Garage,Parking Permit Vio,50,0
3/24/16,Park Avenue Garage,Parking Permit Vio,50,0
3/24/16,Sixth Street Garage,Parking Permit Vio,50,0
3/24/16,Sixth Street Garage,Parking Permit Vio,50,0
3/24/16,Park Avenue Garage,Parking Permit Vio,50,0
3/24/16,Park Avenue Garage,Parking Permit Vio,50,70
3/24/16,Sixth Street Garage,Parking Permit Vio,50,0
3/24/16,Park Avenue Garage,Parking Permit Vio,50,0
3/24/16,Park Avenue Garage,Parking Permit Vio,50,0
3/24/16,Park Avenue Garage,Parking Permit Vio,50,0
3/24/16,Park Avenue Garage,Parking Permit Vio,50,70
3/24/16,Park Avenue Garage,Parking Permit Vio,50,0
3/24/16,Sixth Street Garage,Parking Permit Vio,50,0
3/24/16,Highland Avenue Garage,Parking Permit Vio,50,0
3/24/16,Lot Specific 6090,Parking Permit Vio,50,0
3/24/16,Lot Specific 6090,Park/Improper Area,60,0
3/24/16,Lot Specific 6090,Park/Improper Area,60,80
3/24/16,Vine Avenue,Meter Violation,50,70
3/24/16,Vine Avenue,Meter Violation,50,70
3/24/16,Lot Specific 6090,Park/Improper Area,60,80
3/24/16,1000 Block E 4th Street,Parking Permit Vio,50,70
3/24/16,Metered Lot 6088,Meter Violation,50,0
3/24/16,Cherry Avenue,Meter Violation,50,70
3/24/16,Metered Lot 6088,Meter Violation,50,0
3/24/16,James E Rogers Way,Meter Violation,50,70
3/24/16,1st Street,Meter Violation,50,0
3/24/16,Lot Specific 2029,Park/Improper Area,60,0
3/24/16,Z1 2032,Park/Improper Area,60,0
3/24/16,Z1 2032,Parking Permit Vio,50,0
3/24/16,Lot Specific 2029,Parking Permit Vio,50,0
3/24/16,Lot Specific 2029,Parking Permit Vio,50,70
3/24/16,Lot Specific 2029,Park/Improper Area,60,0
3/24/16,Svc & Disabled 3140,Overtime,50,0
3/24/16,Z1 2030,Meter Violation,50,0
3/24/16,Lot Specific 5072,Meter Violation,50,70
3/24/16,Lot Specific 5072,Parking Permit Vio,50,0
3/24/16,James E Rogers Way,Overtime,50,70
3/24/16,Lot Specific 4164,Parking Permit Vio,50,0
3/24/16,Lot Specific 4056,Parking Permit Vio,50,0
3/24/16,Lot Specific 1016,Park/Improper Area,60,0
3/24/16,South Of Sixth 7102,Parking Over Line,60,80
3/24/16,Z1 1018,Overtime,50,0
3/24/16,Svc & Disabled 4059,Overtime,50,0
3/24/16,Cherry Avenue Garage,Parking Over Line,60,80
3/24/16,Lot Specific 2012,Parking Permit Vio,50,0
3/24/16,Lot Specific 3233,Park/Improper Area,60,0
3/24/16,Lot Specific 3233,Park/Improper Area,60,0
3/24/16,Tyndall Ave Garage,Parking Over Line,60,0
3/24/16,Tyndall Ave Garage,Parking Over Line,60,0
3/24/16,Second Street Garage,Parking Over Line,60,0
3/24/16,Lot Specific 2012,Boot Fee - 1QA,80,0
3/24/16,Second Street Garage,Parking Over Line,60,0
3/24/16,Second Street Garage,Parking Over Line,60,0
3/24/16,Z1 2243,Parking Permit Vio,50,0
3/24/16,Lot Specific 5067,Park/Improper Area,60,80
3/24/16,Z1 2032,Parking Permit Vio,50,0
3/24/16,Lot Specific 5072,Parking Permit Vio,50,0
3/24/16,Z1 2168 Ring Road East,Prohibited Parking,85,0
3/24/16,Z1 2168 Ring Road East,Prohibited Parking,85,0
3/24/16,UMC Employee Health,Service Space,60,80
3/24/16,Lot Specific 2029,Parking Permit Vio,50,0
3/24/16,Lot Specific 2029,Parking Permit Vio,50,0
3/24/16,Lot Specific 2029,Parking Permit Vio,50,0
3/24/16,Lot Specific 2029,Park/Improper Area,60,0
3/24/16,Lot Specific 2029,Parking Over Line,60,0
3/24/16,Martin Avenue North,Prohibited Parking,85,0
3/24/16,Lot Specific 2029,Parking Permit Vio,50,0
3/24/16,Metered Lot 6088,Meter Violation,50,0
3/24/16,South Of Sixth 8106,Parking Over Line,60,0
3/24/16,Metered Lot 6088,Meter Violation,50,0
3/24/16,Lot Specific 4052,Parking Permit Vio,50,0
3/24/16,Metered Lot 6088,Meter Violation,50,0
3/24/16,Lot Specific 5067,Parking Permit Vio,50,0
3/24/16,Tyndall Ave Garage,Parking Over Line,60,0
3/24/16,Tyndall Ave Garage,Parking Over Line,60,0
3/24/16,Z1 2030,Meter Violation,50,70
3/24/16,Z1 2030,Meter Violation,50,70
3/24/16,Svc & Disabled 5073,Parking Permit Vio,50,0
3/24/16,Svc & Disabled 3140,Overtime,50,0
3/24/16,Svc & Disabled 5183,Service Space,60,80
3/24/16,South Of Sixth 8106,Meter Violation,50,70
3/24/16,South Of Sixth 8106,Meter Violation,50,0
3/24/16,1st Street,Meter Violation,50,50
3/24/16,Lot Specific 2012,Parking Over Line,60,0
3/24/16,Lot Specific 2012,Overtime,50,0
3/24/16,Second Street Garage,Parking Over Line,60,0
3/24/16,Enke Drive,Meter Violation,50,0
3/24/16,Enke Drive,Meter Violation,50,0
3/24/16,Enke Drive,Meter Violation,50,70
3/24/16,Enke Drive,Meter Violation,50,0
3/24/16,Lot Specific 6090,Parking Permit Vio,50,20
3/24/16,Lot Specific 6090,Parking Permit Vio,50,0
3/24/16,Svc & Disabled 5083,Parking Permit Vio,50,0
3/24/16,South Of Sixth 7105,Parking Permit Vio,50,70
3/24/16,Lot Specific 3039,Parking Permit Vio,50,0
3/24/16,Lot Specific 3039,Parking Permit Vio,50,70
3/24/16,Alley MLK Bldg,Meter Violation,50,0
3/24/16,Lot Specific 5072,Parking Permit Vio,50,0
3/24/16,Lot Specific 4052,Parking Over Line,60,0
3/24/16,Lot Specific 5072,Parking Permit Vio,50,0
3/24/16,James E Rogers Way,Meter Violation,50,70
3/24/16,Lot Specific 5072,Parking Permit Vio,50,0
3/24/16,Lot Specific 4052,Park/Improper Area,60,80
3/24/16,Coronado,Parking Permit Vio,50,0
3/24/16,Lot Specific 4056,Parking Permit Vio,50,0
3/24/16,North Santa Rita Ave,Meter Violation,50,0
3/24/16,South Of Sixth 8106,Parking Permit Vio,50,0
3/24/16,South Of Sixth 8106,Park/Improper Area,60,0
3/24/16,Main Gate Garage,Parking Over Line,60,80
3/24/16,Lot Specific 6090,Park/Improper Area,60,0
3/24/16,Lot Specific 6090,Park/Improper Area,60,80
3/24/16,Lot Specific 5067,Parking Permit Vio,50,0
3/24/16,Lot Specific 5067,Parking Permit Vio,50,0
3/24/16,Lot Specific 5067,Parking Permit Vio,50,0
3/24/16,Lot Specific 5067,Parking Permit Vio,50,0
3/24/16,Lot Specific 5067,Parking Permit Vio,50,0
3/24/16,Lot Specific 5067,Parking Permit Vio,50,0
3/24/16,Lot Specific 5072,Meter Violation,50,70
3/24/16,Lot Specific 5072,Park/Improper Area,60,80
3/24/16,Lot Specific 5072,Parking Permit Vio,50,0
3/24/16,Lot Specific 5072,Parking Permit Vio,50,0
3/24/16,Lot Specific 5072,Parking Permit Vio,50,0
3/24/16,Lot Specific 5072,Parking Permit Vio,50,0
3/24/16,Lot Specific 5072,Parking Permit Vio,50,0
3/24/16,Lot Specific 5072,Parking Permit Vio,50,0
3/24/16,Lot Specific 6090,Parking Permit Vio,50,0
3/24/16,Lot Specific 6090,Parking Permit Vio,50,0
3/24/16,Lot Specific 6090,Parking Permit Vio,50,0
3/25/16,Sixth Street Garage,Parking Permit Vio,50,0
3/25/16,Sixth Street Garage,Parking Permit Vio,50,0
3/25/16,Sixth Street Garage,Parking Permit Vio,50,0
3/25/16,Sixth Street Garage,Parking Permit Vio,50,0
3/25/16,Sixth Street Garage,Parking Permit Vio,50,0
3/25/16,Sixth Street Garage,Parking Permit Vio,50,0
3/25/16,Sixth Street Garage,Parking Permit Vio,50,0
3/25/16,Sixth Street Garage,Parking Permit Vio,50,0
3/25/16,Sixth Street Garage,Parking Permit Vio,50,0
3/25/16,Sixth Street Garage,Parking Permit Vio,50,0
3/25/16,Sixth Street Garage,Parking Permit Vio,50,0
3/25/16,Sixth Street Garage,Parking Permit Vio,50,0
3/25/16,Tyndall Ave Garage,Parking Permit Vio,50,0
3/25/16,Tyndall Ave Garage,Parking Permit Vio,50,0
3/25/16,Tyndall Ave Garage,Parking Permit Vio,50,0
3/25/16,Tyndall Ave Garage,Parking Permit Vio,50,0
3/25/16,Tyndall Ave Garage,Parking Permit Vio,50,0
3/25/16,Tyndall Ave Garage,Parking Permit Vio,50,0
3/25/16,Tyndall Ave Garage,Parking Permit Vio,50,0
3/25/16,Tyndall Ave Garage,Parking Permit Vio,50,0
3/25/16,Tyndall Ave Garage,Parking Permit Vio,50,0
3/25/16,Tyndall Ave Garage,Parking Permit Vio,50,0
3/25/16,Tyndall Ave Garage,Parking Permit Vio,50,0
3/25/16,Tyndall Ave Garage,Parking Permit Vio,50,0
3/25/16,Tyndall Ave Garage,Parking Permit Vio,50,0
3/25/16,Main Gate Garage,Park/Improper Area,60,80
3/25/16,Main Gate Garage,Park/Improper Area,60,80
3/25/16,Main Gate Garage,Park/Improper Area,60,0
3/25/16,Main Gate Garage,Park/Improper Area,60,0
3/25/16,Main Gate Garage,Park/Improper Area,60,0
3/25/16,Lot Specific 5067,Parking Permit Vio,50,0
3/25/16,Lot Specific 5072,Meter Violation,50,0
3/25/16,Lot Specific 5072,Meter Violation,50,70
3/25/16,Lot Specific 5072,Park/Improper Area,60,0
3/25/16,Lot Specific 5072,Park/Improper Area,60,0
3/25/16,Lot Specific 5072,Parking Permit Vio,50,0
3/25/16,Lot Specific 5072,Parking Permit Vio,50,70
3/25/16,Lot Specific 5072,Parking Permit Vio,50,0
3/25/16,Lot Specific 5072,Parking Permit Vio,50,0
3/25/16,South Of Sixth 7156,Parking Over Line,60,0
3/25/16,South Of Sixth 7156,Parking Over Line,60,0
3/25/16,South Of Sixth 7102,Meter Violation,50,70
3/25/16,Z1 2030,Parking Permit Vio,50,0
3/25/16,Z1 2030,Parking Permit Vio,50,0
3/25/16,Z1 2030,Prohibited Parking,85,105
3/25/16,Lot Specific 2012,Parking Permit Vio,50,0
3/25/16,Z1 1018,Parking Permit Vio,50,0
3/25/16,Lot Specific 3039,Parking Permit Vio,50,0
3/25/16,Enke Drive,Meter Violation,50,0
3/25/16,Enke Drive,Parking Permit Vio,50,0
3/25/16,Enke Drive,Meter Violation,50,70
3/25/16,Enke Drive,Parking Permit Vio,50,0
3/25/16,Lot Specific 6098,Parking Permit Vio,50,70
3/25/16,Lot Specific 5067,Parking Permit Vio,50,70
3/25/16,Metered Lot 6088,Park/Improper Area,60,80
3/25/16,Metered Lot 6088,Prohibited Parking,85,0
3/25/16,Metered Lot 6088,Parking Permit Vio,50,0
3/25/16,Metered Lot 6088,Service Space,60,0
3/25/16,Metered Lot 6088,Service Space,60,80
